characteristic_id,characteristic_name,usgs_pcode
298,Orthophosphate,660.0
299,Orthophosphate,671.0
300,Orthophosphate,UNKNOWN
301,Orthophosphate as PO4,UNKNOWN
302,Oxadiazon,UNKNOWN
303,Oxychlordane,UNKNOWN
304,Oxygen,300.0
305,Oxygen,301.0
306,Oxygen,UNKNOWN
307,PCB-128/167,UNKNOWN
308,PCB-132/153,UNKNOWN
309,PCB-170/190,UNKNOWN
310,PCB-195/208,UNKNOWN
311,PCB-5/8,UNKNOWN
312,PCB-77/110,UNKNOWN
313,PCB-90/101,UNKNOWN
314,Parathion,39542.0
315,"Particle size, Sieve No. 35, 32 Mesh, (0.5 mm)",UNKNOWN
316,Pebulate,82669.0
317,Pendimethalin,82683.0
318,Percent Solids,UNKNOWN
319,Perylene,UNKNOWN
320,Phenanthrene,UNKNOWN
321,Phenanthrene-d10,UNKNOWN
322,Pheophytin a,32738.0
323,Pheophytin a,62360.0
324,Pheophytin a,UNKNOWN
325,Phorate,82664.0
326,Phosphate-phosphorus,UNKNOWN
327,Phosphorus,34937.0
328,Phosphorus,666.0
329,Phosphorus,UNKNOWN
330,Phytane,UNKNOWN
331,Plastics,UNKNOWN
332,Potassium,34942.0
333,Pristane,UNKNOWN
334,Prometon,4037.0
335,Pronamide,82676.0
336,Propachlor,4024.0
337,Propanil,82679.0
338,Propargite,82685.0
339,Pyrene,UNKNOWN
340,S-Ethyl dipropylthiocarbamate,82668.0
341,Salinity,480.0
342,Salinity,UNKNOWN
343,Sand,UNKNOWN
344,Scandium,34947.0
345,Sediment,91157.0
346,Sediment,91158.0
347,Sediment,91159.0
348,Sediment,91166.0
349,Selenium,34952.0
350,Selenium,UNKNOWN
351,Silica,955.0
352,Silicate,UNKNOWN
353,Silt,UNKNOWN
354,Silver,34957.0
355,Silver,UNKNOWN
356,Simazine,4035.0
357,Small Gravel 2 - 4 mm,UNKNOWN
358,Sodium,34962.0
359,Specific conductance,90095.0
360,Specific conductance,95.0
361,Specific conductance,UNKNOWN
362,Strontium,34967.0
363,Substrate - clay/fine partic. org. matt.,UNKNOWN
364,"Substrate - silt, fine",UNKNOWN
365,Sulfide,UNKNOWN
366,Sulfur,UNKNOWN
367,Survival,UNKNOWN
368,Suspended Sediment Concentration (SSC),70331.0
369,Suspended Sediment Concentration (SSC),80154.0
370,Suspended Sediment Concentration (SSC),UNKNOWN
371,Tantalum,34977.0
372,Tebuthiuron,82670.0
373,Temperature,UNKNOWN
374,"Temperature, water",10.0
375,"Temperature, water",UNKNOWN
376,Terbacil,82665.0
377,Terbufos,82675.0
378,Terbuthylazine,91064.0
379,Tetrachloro-m-xylene,UNKNOWN
380,Thiobencarb,82681.0
381,Thorium-232,34982.0
382,Tide stage (choice list),UNKNOWN
383,Tin,34987.0
384,Tin,UNKNOWN
385,Titanium,34992.0
386,Total Coliform,UNKNOWN
387,"Total Nitrogen, mixed forms",UNKNOWN
388,Total Particulate Organic Carbon,UNKNOWN
389,"Total Phosphorus, mixed forms",UNKNOWN
390,Total solids,UNKNOWN
391,Total suspended solids,UNKNOWN
392,Toxaphene,UNKNOWN
393,Toxicity sediment survival,UNKNOWN
394,Triallate,82678.0
395,Trifluralin,82661.0
396,Trimethylnaphthalene,UNKNOWN
397,Triphenyl phosphate,UNKNOWN
398,UV 254,50624.0
399,UV 254,63162.0
400,Uranium,35002.0
401,Urea,UNKNOWN
402,Vanadium,35007.0
403,Vanadium,UNKNOWN
404,Wave height,UNKNOWN
405,Weight,UNKNOWN
406,Wind velocity,UNKNOWN
407,Ytterbium,35017.0
408,Yttrium,35012.0
409,Zinc,35022.0
410,Zinc,UNKNOWN
411,cis-Chlordane,UNKNOWN
412,cis-Nonachlor,UNKNOWN
413,gamma-HCH (Lindane),39341.0
414,"o,p'-DDD",UNKNOWN
415,"o,p'-DDE",UNKNOWN
416,"o,p'-DDT",UNKNOWN
417,"p,p'-DDD",UNKNOWN
418,"p,p'-DDE",34653.0
419,"p,p'-DDE",UNKNOWN
420,"p,p'-DDT",UNKNOWN
421,p-Terphenyl-d14,UNKNOWN
422,pH,400.0
423,pH,UNKNOWN
424,trans-Chlordane,UNKNOWN
425,trans-Nonachlor,UNKNOWN
